ATTEND_RECORD_IDX,USER_IDX,ATTEND_STATUS,REG_DATE
1,1,NA,24-01-02 8:49
2,1,NL,24-01-02 18:14
3,1,NA,24-01-03 8:30
4,1,LL,24-01-03 20:08
5,1,NA,24-01-04 8:54
6,1,NL,24-01-04 18:26
7,1,NA,24-01-05 8:46
8,1,NL,24-01-05 18:10
9,1,NA,24-01-08 8:32
10,1,NL,24-01-08 18:15
11,1,VC,24-01-09 18:00
12,1,NA,24-01-10 8:34
13,1,NL,24-01-10 18:21
14,1,NA,24-01-11 8:59
15,1,NL,24-01-11 18:18
16,1,VC,24-01-12 18:00
17,1,NA,24-01-15 8:46
18,1,NL,24-01-15 18:06
19,1,NA,24-01-16 8:51
20,1,NL,24-01-16 18:12
21,1,NA,24-01-17 8:30
22,1,NL,24-01-17 18:27
23,1,NA,24-01-18 8:38
24,1,NL,24-01-18 18:09
25,1,NA,24-01-19 8:54
26,1,OT,24-01-19 11:24
27,1,EL,24-01-19 12:24
28,1,NA,24-01-22 8:58
29,1,NL,24-01-22 18:16
30,1,NA,24-01-23 8:59
31,1,NL,24-01-23 18:21
32,1,LA,24-01-24 9:12
33,1,NL,24-01-24 18:20
34,1,NA,24-01-25 8:31
35,1,NL,24-01-25 18:24
36,1,NA,24-01-26 8:32
37,1,NL,24-01-26 18:06
38,1,NA,24-01-29 8:55
39,1,NL,24-01-29 18:27
40,1,NA,24-01-30 8:43
41,1,NL,24-01-30 18:00
42,1,NA,24-01-31 8:33
43,1,NL,24-01-31 18:09
44,1,NA,24-02-01 8:55
45,1,NL,24-02-01 18:14
46,1,NA,24-02-02 8:58
47,1,NL,24-02-02 18:26
48,1,NA,24-02-05 8:52
49,1,NL,24-02-05 18:11
50,1,NA,24-02-06 8:31
51,1,NL,24-02-06 18:25
52,1,NA,24-02-07 8:48
53,1,NL,24-02-07 18:16
54,1,NA,24-02-08 8:50
55,1,NL,24-02-08 18:18
56,1,NA,24-02-09 8:58
57,1,NL,24-02-09 18:19
58,1,BT,24-02-12 18:00
59,1,LA,24-02-13 9:25
60,1,NL,24-02-13 18:06
61,1,BT,24-02-14 18:00
62,1,NA,24-02-15 8:57
63,1,NL,24-02-15 18:24
64,1,NA,24-02-16 8:43
