USER_IDX,ATTEND_STATUS,REG_DATE
1,NA,24-01-02 8:49
1,NL,24-01-02 18:14
1,NA,24-01-03 8:30
1,LL,24-01-03 20:08
1,NA,24-01-04 8:54
1,NL,24-01-04 18:26
1,NA,24-01-05 8:46
1,NL,24-01-05 18:10
1,NA,24-01-08 8:32
1,NL,24-01-08 18:15
1,VC,24-01-09 18:00
1,NA,24-01-10 8:34
1,NL,24-01-10 18:21
1,NA,24-01-11 8:59
1,NL,24-01-11 18:18
1,VC,24-01-12 18:00
1,NA,24-01-15 8:46
1,NL,24-01-15 18:06
1,NA,24-01-16 8:51
1,NL,24-01-16 18:12
1,NA,24-01-17 8:30
1,NL,24-01-17 18:27
1,NA,24-01-18 8:38
1,NL,24-01-18 18:09
1,NA,24-01-19 8:54
1,OT,24-01-19 11:24
1,EL,24-01-19 12:24
1,NA,24-01-22 8:58
1,NL,24-01-22 18:16
1,NA,24-01-23 8:59
1,NL,24-01-23 18:21
1,LA,24-01-24 9:12
1,NL,24-01-24 18:20
1,NA,24-01-25 8:31
1,NL,24-01-25 18:24
1,NA,24-01-26 8:32
1,NL,24-01-26 18:06
1,NA,24-01-29 8:55
1,NL,24-01-29 18:27
1,NA,24-01-30 8:43
1,NL,24-01-30 18:00
1,NA,24-01-31 8:33
1,NL,24-01-31 18:09
1,NA,24-02-01 8:55
1,NL,24-02-01 18:14
1,NA,24-02-02 8:58
1,NL,24-02-02 18:26
1,NA,24-02-05 8:52
1,NL,24-02-05 18:11
1,NA,24-02-06 8:31
1,NL,24-02-06 18:25
1,NA,24-02-07 8:48
1,NL,24-02-07 18:16
1,NA,24-02-08 8:50
1,NL,24-02-08 18:18
1,NA,24-02-09 8:58
1,NL,24-02-09 18:19
1,BT,24-02-12 18:00
1,LA,24-02-13 9:25
1,NL,24-02-13 18:06
1,BT,24-02-14 18:00
1,NA,24-02-15 8:57
1,NL,24-02-15 18:24
1,NA,24-02-16 8:43
1,NL,24-02-16 18:03
1,NA,24-02-19 8:57
1,NL,24-02-19 18:27
1,NA,24-02-20 8:58
1,NL,24-02-20 18:26
1,NA,24-02-21 8:46
1,NL,24-02-21 18:02
1,NA,24-02-22 8:47
1,NL,24-02-22 18:03
1,NA,24-02-23 8:40
1,NL,24-02-23 18:21
1,NA,24-02-26 8:41
1,NL,24-02-26 18:11
1,NA,24-02-27 8:49
1,NL,24-02-27 18:06
1,NA,24-02-28 8:43
1,NL,24-02-28 18:28
1,NA,24-02-29 8:44
1,NL,24-02-29 18:28
1,NA,24-03-04 8:44
1,NL,24-03-04 18:04
1,NA,24-03-05 8:59
1,NL,24-03-05 18:04
1,NA,24-03-06 8:54
1,NL,24-03-06 18:10
1,NA,24-03-07 8:36
1,NL,24-03-07 18:17
1,NA,24-03-08 8:48
1,LL,24-03-08 19:51
1,NA,24-03-11 8:37
1,EL,24-03-11 17:07
1,NA,24-03-12 8:58
1,NL,24-03-12 18:23
1,NA,24-03-13 8:36
1,NL,24-03-13 18:15
1,NA,24-03-14 8:50
1,NL,24-03-14 18:20
1,NA,24-03-15 8:59
1,NL,24-03-15 18:08
1,NA,24-03-18 8:51
1,NL,24-03-18 18:01
1,NA,24-03-19 8:30
1,NL,24-03-19 18:19
1,NA,24-03-20 8:34
1,NL,24-03-20 18:18
