USER_IDX,ATTEND_STATUS,REG_DATE
1,NA,24-01-02 8:31
1,LL,24-01-02 19:33
1,NA,24-01-03 8:51
1,NL,24-01-03 18:06
1,NA,24-01-04 8:48
1,LL,24-01-04 20:20
1,VC,24-01-05 18:00
1,NA,24-01-08 8:43
1,NL,24-01-08 18:13
1,NA,24-01-09 8:33
1,NL,24-01-09 18:20
1,NA,24-01-10 8:47
1,NL,24-01-10 18:14
1,NA,24-01-11 8:53
1,NL,24-01-11 18:02
1,NA,24-01-12 8:41
1,NL,24-01-12 18:22
1,NA,24-01-15 8:34
1,NL,24-01-15 18:05
1,NA,24-01-16 8:35
1,NL,24-01-16 18:05
1,NA,24-01-17 8:39
1,EL,24-01-17 17:50
1,NA,24-01-18 8:30
1,EL,24-01-18 16:40
1,NA,24-01-19 8:35
1,NL,24-01-19 18:01
1,NA,24-01-22 8:41
1,NL,24-01-22 18:22
1,NA,24-01-23 8:58
1,NL,24-01-23 18:24
1,NA,24-01-24 8:58
1,NL,24-01-24 18:17
1,NA,24-01-25 8:45
1,NL,24-01-25 18:29
1,NA,24-01-26 8:31
1,NL,24-01-26 18:21
1,NA,24-01-29 8:43
1,NL,24-01-29 18:26
1,NA,24-01-30 8:33
1,NL,24-01-30 18:15
1,NA,24-01-31 8:40
1,EL,24-01-31 17:38
1,NA,24-02-01 8:49
1,OT,24-02-01 12:58
1,RT,24-02-01 14:19
1,NL,24-02-01 18:07
1,NA,24-02-02 8:46
1,NL,24-02-02 18:18
1,NA,24-02-05 8:50
1,EL,24-02-05 16:03
1,NA,24-02-06 8:58
1,NL,24-02-06 18:11
1,NA,24-02-07 8:54
1,NL,24-02-07 18:00
1,NA,24-02-08 8:34
1,NL,24-02-08 18:29
1,NA,24-02-09 8:54
1,EL,24-02-09 17:59
1,NA,24-02-12 8:41
1,OT,24-02-12 11:09
1,RT,24-02-12 12:21
1,NL,24-02-12 18:11
1,NA,24-02-13 8:49
1,NL,24-02-13 18:12
1,NA,24-02-14 8:39
1,NL,24-02-14 18:03
1,NA,24-02-15 8:58
1,NL,24-02-15 18:08
1,NA,24-02-16 8:46
1,NL,24-02-16 18:09
1,LA,24-02-19 9:06
1,NL,24-02-19 18:16
1,NA,24-02-20 8:32
1,EL,24-02-20 16:08
1,NA,24-02-21 8:47
1,NL,24-02-21 18:08
1,NA,24-02-22 8:36
1,NL,24-02-22 18:05
1,NA,24-02-23 8:53
1,NL,24-02-23 18:17
1,NA,24-02-26 8:40
1,NL,24-02-26 18:19
1,NA,24-02-27 8:44
1,EL,24-02-27 17:44
1,NA,24-02-28 8:45
1,LL,24-02-28 19:54
1,NA,24-02-29 8:30
1,LL,24-02-29 20:27
1,NA,24-03-04 8:47
1,NL,24-03-04 18:20
1,NA,24-03-05 8:32
1,NL,24-03-05 18:11
1,NA,24-03-06 8:45
1,NL,24-03-06 18:17
1,NA,24-03-07 8:56
1,NL,24-03-07 18:15
1,NA,24-03-08 8:52
1,NL,24-03-08 18:12
1,NA,24-03-11 8:39
1,NL,24-03-11 18:20
1,NA,24-03-12 8:55
1,EL,24-03-12 15:33
1,NA,24-03-13 8:57
1,NL,24-03-13 18:15
1,NA,24-03-14 8:54
1,LL,24-03-14 20:02
1,NA,24-03-15 8:53
1,NL,24-03-15 18:16
1,NA,24-03-18 8:40
1,LL,24-03-18 20:26
1,NA,24-03-19 8:48
1,NL,24-03-19 18:01
1,NA,24-03-20 8:57
1,NL,24-03-20 18:27
1,NA,24-03-21 8:51
1,NL,24-03-21 18:14
1,NA,24-03-22 8:45
1,NL,24-03-22 18:16
1,NA,24-03-25 8:57
1,EL,24-03-25 16:03
1,NA,24-03-26 8:37
1,NL,24-03-26 18:26
1,NA,24-03-27 8:46
1,EL,24-03-27 15:53
1,NA,24-03-28 8:45
1,NL,24-03-28 18:24
1,NA,24-03-29 8:56
1,NL,24-03-29 18:16
1,NA,24-04-01 8:36
1,LL,24-04-01 20:26
1,NA,24-04-02 8:48
1,NL,24-04-02 18:19
1,NA,24-04-03 8:56
1,NL,24-04-03 18:22
1,NA,24-04-04 8:51
1,NL,24-04-04 18:28
1,NA,24-04-05 8:55
1,EL,24-04-05 15:33
1,NA,24-04-08 8:41
1,NL,24-04-08 18:24
1,NA,24-04-09 8:51
1,NL,24-04-09 18:03
1,NA,24-04-10 8:49
1,NL,24-04-10 18:01
1,NA,24-04-11 8:50
1,OT,24-04-11 11:37
1,EL,24-04-11 12:37
1,NA,24-04-12 8:59
1,NL,24-04-12 18:25
1,NA,24-04-15 8:57
1,LL,24-04-15 19:02
1,NA,24-04-16 8:31
1,NL,24-04-16 18:22
1,NA,24-04-17 8:40
1,EL,24-04-17 17:23
1,NA,24-04-18 8:36
1,NL,24-04-18 18:17
1,NA,24-04-19 8:52
1,NL,24-04-19 18:26
1,NA,24-04-22 8:48
1,LL,24-04-22 19:11
1,NA,24-04-23 8:53
1,NL,24-04-23 18:14
1,NA,24-04-24 8:30
1,NL,24-04-24 18:21
1,NA,24-04-25 8:37
1,NL,24-04-25 18:03
1,NA,24-04-26 8:40
1,NL,24-04-26 18:09
1,NA,24-04-29 8:31
1,OT,24-04-29 11:43
1,EL,24-04-29 13:43
1,NA,24-04-30 8:36
1,NL,24-04-30 18:10
1,NA,24-05-01 8:41
1,NL,24-05-01 18:24
1,NA,24-05-02 8:34
1,LL,24-05-02 19:07
1,NA,24-05-03 8:54
1,NL,24-05-03 18:20
1,NA,24-05-06 8:41
1,EL,24-05-06 17:14
1,LA,24-05-07 9:03
1,NL,24-05-07 18:22
1,NA,24-05-08 8:30
1,NL,24-05-08 18:16
1,NA,24-05-09 8:33
1,NL,24-05-09 18:28
1,NA,24-05-10 8:41
1,NL,24-05-10 18:26
1,NA,24-05-13 8:46
1,NL,24-05-13 18:17
1,BT,24-05-14 18:00
1,NA,24-05-15 8:52
1,LL,24-05-15 20:03
1,NA,24-05-16 8:55
1,NL,24-05-16 18:17
1,NA,24-05-17 8:30
1,LL,24-05-17 19:32
1,NA,24-05-20 8:42
1,NL,24-05-20 18:04
1,NA,24-05-21 8:46
1,NL,24-05-21 18:18
1,NA,24-05-22 8:58
1,LL,24-05-22 19:24
1,NA,24-05-23 8:46
1,NL,24-05-23 18:04
1,VC,24-05-24 18:00
1,NA,24-05-27 8:30
1,NL,24-05-27 18:02
1,NA,24-05-28 8:48
1,LL,24-05-28 19:12
1,NA,24-05-29 8:57
1,NL,24-05-29 18:16
1,NA,24-05-30 8:40
1,NL,24-05-30 18:29
1,NA,24-05-31 8:46
1,EL,24-05-31 16:16
1,NA,24-06-03 8:52
1,LL,24-06-03 20:24
1,NA,24-06-04 8:49
1,NL,24-06-04 18:13
1,NA,24-06-05 8:30
1,NL,24-06-05 18:28
1,NA,24-06-06 8:50
1,NL,24-06-06 18:27
1,NA,24-06-07 8:36
1,NL,24-06-07 18:00
1,NA,24-06-10 8:53
1,NL,24-06-10 18:10
1,NA,24-06-11 8:31
1,LL,24-06-11 19:37
1,NA,24-06-12 8:43
1,NL,24-06-12 18:26
1,NA,24-06-13 8:47
1,NL,24-06-13 18:01
1,NA,24-06-14 8:37
1,NL,24-06-14 18:04
1,NA,24-06-17 8:48
1,EL,24-06-17 16:52
1,NA,24-06-18 8:56
1,NL,24-06-18 18:26
1,NA,24-06-19 8:52
1,NL,24-06-19 18:14
1,NA,24-06-20 8:59
1,NL,24-06-20 18:19
1,NA,24-06-21 8:49
1,NL,24-06-21 18:06
1,LA,24-06-24 9:27
1,EL,24-06-24 17:48
1,NA,24-06-25 8:54
1,LL,24-06-25 20:17
1,NA,24-06-26 8:48
1,NL,24-06-26 18:29
1,NA,24-06-27 8:49
1,NL,24-06-27 18:14
1,NA,24-06-28 8:31
1,EL,24-06-28 16:41
1,NA,24-07-01 8:39
1,NL,24-07-01 18:13
1,NA,24-07-02 8:38
1,NL,24-07-02 18:18
1,NA,24-07-03 8:42
1,NL,24-07-03 18:16
1,NA,24-07-04 8:44
1,NL,24-07-04 18:20
1,NA,24-07-05 8:49
1,NL,24-07-05 18:08
1,VC,24-07-08 18:00
1,NA,24-07-09 8:50
1,EL,24-07-09 16:48
1,NA,24-07-10 8:49
1,NL,24-07-10 18:14
1,NA,24-07-11 8:51
1,NL,24-07-11 18:05
1,NA,24-07-12 8:38
1,NL,24-07-12 18:17
1,NA,24-07-15 8:37
1,NL,24-07-15 18:11
1,NA,24-07-16 8:34
1,LL,24-07-16 19:20
1,NA,24-07-17 8:54
1,NL,24-07-17 18:08
1,NA,24-07-18 8:51
1,EL,24-07-18 17:57
1,NA,24-07-19 8:41
1,LL,24-07-19 20:25
1,NA,24-07-22 8:33
1,EL,24-07-22 15:46
1,NA,24-07-23 8:53
1,NL,24-07-23 18:18
1,NA,24-07-24 8:44
1,NL,24-07-24 18:13
1,NA,24-07-25 8:32
1,NL,24-07-25 18:28
1,NA,24-07-26 8:39
1,EL,24-07-26 15:40
1,NA,24-07-29 8:53
1,NL,24-07-29 18:17
1,NA,24-07-30 8:38
1,NL,24-07-30 18:26
1,NA,24-07-31 8:48
1,NL,24-07-31 18:13
1,NA,24-08-01 8:39
1,OT,24-08-01 12:38
1,RT,24-08-01 13:51
1,NL,24-08-01 18:01
1,LA,24-08-02 9:26
1,NL,24-08-02 18:04
1,NA,24-08-05 8:41
1,NL,24-08-05 18:24
1,NA,24-08-06 8:59
1,NL,24-08-06 18:13
1,NA,24-08-07 8:52
1,EL,24-08-07 15:18
1,NA,24-08-08 8:32
1,NL,24-08-08 18:27
1,NA,24-08-09 8:55
1,NL,24-08-09 18:21
1,NA,24-08-12 8:43
1,NL,24-08-12 18:24
1,NA,24-08-13 8:50
1,NL,24-08-13 18:00
1,NA,24-08-14 8:46
1,NL,24-08-14 18:02
1,NA,24-08-16 8:40
1,NL,24-08-16 18:01
1,NA,24-08-19 8:42
1,NL,24-08-19 18:03
1,NA,24-08-20 8:32
1,LL,24-08-20 19:12
1,LA,24-08-21 9:02
1,NL,24-08-21 18:16
1,NA,24-08-22 8:30
1,NL,24-08-22 18:14
1,NA,24-08-23 8:35
1,NL,24-08-23 18:29
1,NA,24-08-26 8:45
1,NL,24-08-26 18:21
1,NA,24-08-27 8:35
1,NL,24-08-27 18:19
1,NA,24-08-28 8:50
1,NL,24-08-28 18:26
1,NA,24-08-29 8:56
1,OT,24-08-29 11:43
1,EL,24-08-29 12:43
1,NA,24-08-30 8:35
1,NL,24-08-30 18:05
1,NA,24-09-02 8:50
1,LL,24-09-02 19:52
1,AB,24-09-03 18:00
1,NA,24-09-04 8:48
1,NL,24-09-04 18:28
1,NA,24-09-05 8:48
1,NL,24-09-05 18:15
1,NA,24-09-06 8:49
1,NL,24-09-06 18:08
1,NA,24-09-09 8:54
1,NL,24-09-09 18:08
1,NA,24-09-10 8:38
1,EL,24-09-10 17:38
1,NA,24-09-11 8:54
1,LL,24-09-11 19:49
1,NA,24-09-12 8:50
1,NL,24-09-12 18:16
1,LA,24-09-13 9:13
1,EL,24-09-13 15:32
1,NA,24-09-16 8:32
1,NL,24-09-16 18:19
1,NA,24-09-17 8:38
1,NL,24-09-17 18:14
1,NA,24-09-18 8:47
1,NL,24-09-18 18:03
1,LA,24-09-19 9:15
1,NL,24-09-19 18:28
1,NA,24-09-20 8:45
1,NL,24-09-20 18:16
1,NA,24-09-23 8:47
1,NL,24-09-23 18:25
1,NA,24-09-24 8:59
1,NL,24-09-24 18:24
1,NA,24-09-25 8:44
1,NL,24-09-25 18:14
1,NA,24-09-26 8:36
1,OT,24-09-26 14:37
1,RT,24-09-26 16:22
1,LL,24-09-26 19:37
1,NA,24-09-27 8:39
1,NL,24-09-27 18:06
1,NA,24-09-30 8:44
1,NL,24-09-30 18:06
1,NA,24-10-01 8:34
1,NL,24-10-01 18:12
1,VC,24-10-02 18:00
1,NA,24-10-04 8:58
1,NL,24-10-04 18:14
1,NA,24-10-07 8:56
1,NL,24-10-07 18:29
1,NA,24-10-08 8:45
1,NL,24-10-08 18:09
1,NA,24-10-09 8:58
1,OT,24-10-09 12:34
1,RT,24-10-09 13:53
1,NL,24-10-09 18:13
1,NA,24-10-10 8:46
1,NL,24-10-10 18:21
1,NA,24-10-11 8:30
1,NL,24-10-11 18:14
1,NA,24-10-14 8:37
1,EL,24-10-14 16:31
1,NA,24-10-15 8:50
1,NL,24-10-15 18:13
1,VC,24-10-16 18:00
1,NA,24-10-17 8:47
1,NL,24-10-17 18:12
1,NA,24-10-18 8:42
1,NL,24-10-18 18:04
1,NA,24-10-21 8:42
1,LL,24-10-21 20:05
1,NA,24-10-22 8:58
1,NL,24-10-22 18:22
1,NA,24-10-23 8:43
1,NL,24-10-23 18:10
1,NA,24-10-24 8:43
1,NL,24-10-24 18:03
1,NA,24-10-25 8:56
1,NL,24-10-25 18:09
1,NA,24-10-28 8:58
1,LL,24-10-28 19:36
1,NA,24-10-29 8:41
1,LL,24-10-29 20:00
1,NA,24-10-30 8:59
1,LL,24-10-30 20:01
1,NA,24-10-31 8:39
1,NL,24-10-31 18:14
1,NA,24-11-01 8:49
1,NL,24-11-01 18:00
1,NA,24-11-04 8:46
1,NL,24-11-04 18:12
1,NA,24-11-05 8:54
1,NL,24-11-05 18:01
1,NA,24-11-06 8:31
1,NL,24-11-06 18:07
1,NA,24-11-07 8:58
1,NL,24-11-07 18:10
1,NA,24-11-08 8:37
1,NL,24-11-08 18:04
1,NA,24-11-11 8:51
1,NL,24-11-11 18:03
1,NA,24-11-12 8:41
1,NL,24-11-12 18:03
1,VC,24-11-13 18:00
1,VC,24-11-14 18:00
1,NA,24-11-15 8:50
1,NL,24-11-15 18:01
1,NA,24-11-18 8:34
1,NL,24-11-18 18:27
1,NA,24-11-19 8:38
1,NL,24-11-19 18:19
1,NA,24-11-20 8:57
1,NL,24-11-20 18:00
1,LA,24-11-21 9:28
1,NL,24-11-21 18:10
1,NA,24-11-22 8:42
1,NL,24-11-22 18:19
