ATTEND_STATUS,REG_DATE,ADMIN_IDX
NA,24-01-02 8:54,16
NL,24-01-02 18:07,16
VC,24-01-03 18:00,16
NA,24-01-04 8:46,16
NL,24-01-04 18:16,16
NA,24-01-05 8:57,16
NL,24-01-05 18:23,16
NA,24-01-08 8:56,16
NL,24-01-08 18:17,16
NA,24-01-09 8:46,16
NL,24-01-09 18:20,16
NA,24-01-10 8:34,16
NL,24-01-10 18:27,16
NA,24-01-11 8:43,16
NL,24-01-11 18:03,16
LA,24-01-12 9:07,16
NL,24-01-12 18:28,16
NA,24-01-15 8:38,16
LL,24-01-15 19:00,16
LA,24-01-16 9:03,16
NL,24-01-16 18:26,16
NA,24-01-17 8:48,16
NL,24-01-17 18:14,16
NA,24-01-18 8:55,16
NL,24-01-18 18:11,16
NA,24-01-19 8:32,16
NL,24-01-19 18:28,16
LA,24-01-22 9:03,16
NL,24-01-22 18:01,16
NA,24-01-23 8:37,16
NL,24-01-23 18:08,16
NA,24-01-24 8:41,16
NL,24-01-24 18:01,16
NA,24-01-25 8:46,16
NL,24-01-25 18:00,16
NA,24-01-26 8:37,16
EL,24-01-26 16:02,16
NA,24-01-29 8:59,16
NL,24-01-29 18:08,16
LA,24-01-30 9:29,16
NL,24-01-30 18:12,16
NA,24-01-31 8:50,16
NL,24-01-31 18:16,16
NA,24-02-01 8:52,16
NL,24-02-01 18:04,16
NA,24-02-02 8:39,16
NL,24-02-02 18:03,16
VC,24-02-05 18:00,16
NA,24-02-06 8:35,16
NL,24-02-06 18:24,16
NA,24-02-07 8:57,16
NL,24-02-07 18:19,16
VC,24-02-08 18:00,16
LA,24-02-09 9:10,16
NL,24-02-09 18:02,16
NA,24-02-12 8:35,16
NL,24-02-12 18:24,16
NA,24-02-13 8:47,16
NL,24-02-13 18:14,16
NA,24-02-14 8:57,16
NL,24-02-14 18:25,16
NA,24-02-15 8:49,16
LL,24-02-15 20:22,16
NA,24-02-16 8:46,16
LL,24-02-16 20:25,16
NA,24-02-19 8:51,16
LL,24-02-19 19:00,16
LA,24-02-20 9:15,16
NL,24-02-20 18:28,16
NA,24-02-21 8:50,16
NL,24-02-21 18:21,16
NA,24-02-22 8:33,16
NL,24-02-22 18:11,16
VC,24-02-23 18:00,16
NA,24-02-26 8:30,16
NL,24-02-26 18:21,16
NA,24-02-27 8:57,16
NL,24-02-27 18:22,16
NA,24-02-28 8:59,16
NL,24-02-28 18:26,16
NA,24-02-29 8:49,16
NL,24-02-29 18:25,16
NA,24-03-04 8:37,16
NL,24-03-04 18:11,16
NA,24-03-05 8:35,16
NL,24-03-05 18:11,16
VC,24-03-06 18:00,16
NA,24-03-07 8:58,16
NL,24-03-07 18:15,16
NA,24-03-08 8:46,16
NL,24-03-08 18:10,16
NA,24-03-11 8:47,16
NL,24-03-11 18:04,16
NA,24-03-12 8:38,16
EL,24-03-12 16:09,16
VC,24-03-13 18:00,16
NA,24-03-14 8:52,16
NL,24-03-14 18:22,16
NA,24-03-15 8:41,16
NL,24-03-15 18:20,16
LA,24-03-18 9:14,16
NL,24-03-18 18:07,16
NA,24-03-19 8:54,16
EL,24-03-19 15:45,16
NA,24-03-20 8:43,16
LL,24-03-20 19:16,16
NA,24-03-21 8:54,16
NL,24-03-21 18:16,16
NA,24-03-22 8:38,16
NL,24-03-22 18:01,16
NA,24-03-25 8:41,16
NL,24-03-25 18:13,16
NA,24-03-26 8:51,16
NL,24-03-26 18:10,16
NA,24-03-27 8:49,16
EL,24-03-27 17:32,16
NA,24-03-28 8:45,16
NL,24-03-28 18:28,16
NA,24-03-29 8:57,16
NL,24-03-29 18:10,16
NA,24-04-01 8:35,16
NL,24-04-01 18:25,16
NA,24-04-02 8:45,16
EL,24-04-02 15:55,16
NA,24-04-03 8:45,16
NL,24-04-03 18:09,16
VC,24-04-04 18:00,16
NA,24-04-05 8:41,16
LL,24-04-05 19:12,16
NA,24-04-08 8:37,16
NL,24-04-08 18:26,16
VC,24-04-09 18:00,16
NA,24-04-10 8:37,16
NL,24-04-10 18:01,16
NA,24-04-11 8:53,16
NL,24-04-11 18:16,16
NA,24-04-12 8:34,16
NL,24-04-12 18:09,16
NA,24-04-15 8:34,16
NL,24-04-15 18:13,16
NA,24-04-16 8:55,16
NL,24-04-16 18:03,16
NA,24-04-17 8:35,16
NL,24-04-17 18:00,16
NA,24-04-18 8:37,16
NL,24-04-18 18:08,16
NA,24-04-19 8:43,16
NL,24-04-19 18:27,16
LA,24-04-22 9:05,16
EL,24-04-22 15:35,16
NA,24-04-23 8:50,16
NL,24-04-23 18:07,16
NA,24-04-24 8:37,16
NL,24-04-24 18:23,16
NA,24-04-25 8:44,16
EL,24-04-25 17:43,16
NA,24-04-26 8:49,16
NL,24-04-26 18:14,16
NA,24-04-29 8:57,16
NL,24-04-29 18:02,16
LA,24-04-30 9:07,16
LL,24-04-30 20:27,16
NA,24-05-01 8:43,16
NL,24-05-01 18:24,16
VC,24-05-02 18:00,16
LA,24-05-03 9:26,16
