ADMIN_IDX,ATTEND_STATUS,REG_DATE
18,LA,24-01-02 9:07
18,NL,24-01-02 18:21
18,NA,24-01-03 8:54
18,NL,24-01-03 18:02
18,NA,24-01-04 8:46
18,NL,24-01-04 18:27
18,LA,24-01-05 9:15
18,NL,24-01-05 18:08
18,LA,24-01-08 9:13
18,NL,24-01-08 18:00
18,VC,24-01-09 18:00
18,NA,24-01-10 8:58
18,NL,24-01-10 18:07
18,NA,24-01-11 8:51
18,NL,24-01-11 18:04
18,LA,24-01-12 9:03
18,NL,24-01-12 18:09
18,NA,24-01-15 8:48
18,NL,24-01-15 18:28
18,NA,24-01-16 8:44
18,NL,24-01-16 18:23
18,NA,24-01-17 8:53
18,NL,24-01-17 18:25
18,NA,24-01-18 8:56
18,NL,24-01-18 18:08
18,BT,24-01-19 18:00
18,NA,24-01-22 8:33
18,NL,24-01-22 18:14
18,NA,24-01-23 8:47
18,NL,24-01-23 18:06
18,LA,24-01-24 9:08
18,NL,24-01-24 18:20
18,NA,24-01-25 8:39
18,NL,24-01-25 18:17
18,NA,24-01-26 8:50
18,NL,24-01-26 18:12
18,NA,24-01-29 8:42
18,NL,24-01-29 18:23
18,NA,24-01-30 8:36
18,NL,24-01-30 18:21
18,NA,24-01-31 8:34
18,NL,24-01-31 18:21
18,NA,24-02-01 8:58
18,NL,24-02-01 18:29
18,NA,24-02-02 8:41
18,NL,24-02-02 18:12
18,NA,24-02-05 8:40
18,NL,24-02-05 18:29
18,NA,24-02-06 8:56
18,NL,24-02-06 18:12
18,NA,24-02-07 8:51
18,OT,24-02-07 11:44
18,EL,24-02-07 12:44
18,NA,24-02-08 8:35
18,NL,24-02-08 18:22
18,NA,24-02-09 8:54
18,NL,24-02-09 18:14
18,NA,24-02-12 8:40
18,NL,24-02-12 18:07
18,NA,24-02-13 8:54
18,NL,24-02-13 18:22
18,NA,24-02-14 8:38
18,NL,24-02-14 18:26
18,NA,24-02-15 8:50
18,NL,24-02-15 18:23
18,NA,24-02-16 8:48
18,NL,24-02-16 18:18
18,NA,24-02-19 8:39
18,NL,24-02-19 18:13
18,VC,24-02-20 18:00
18,NA,24-02-21 8:30
18,NL,24-02-21 18:03
18,LA,24-02-22 9:14
18,NL,24-02-22 18:26
18,NA,24-02-23 8:46
18,NL,24-02-23 18:14
18,NA,24-02-26 8:47
18,NL,24-02-26 18:19
18,NA,24-02-27 8:59
18,OT,24-02-27 11:23
18,RT,24-02-27 13:21
18,NL,24-02-27 18:15
18,NA,24-02-28 8:53
18,NL,24-02-28 18:24
18,NA,24-02-29 8:37
18,NL,24-02-29 18:27
18,NA,24-03-04 8:55
18,NL,24-03-04 18:07
18,NA,24-03-05 8:53
18,NL,24-03-05 18:00
18,NA,24-03-06 8:53
18,OT,24-03-06 12:10
18,RT,24-03-06 13:46
18,NL,24-03-06 18:08
18,NA,24-03-07 8:33
18,NL,24-03-07 18:02
18,NA,24-03-08 8:47
18,NL,24-03-08 18:17
18,NA,24-03-11 8:57
18,NL,24-03-11 18:08
18,NA,24-03-12 8:54
18,NL,24-03-12 18:26
18,LA,24-03-13 9:07
18,NL,24-03-13 18:24
18,NA,24-03-14 8:46
18,NL,24-03-14 18:03
18,NA,24-03-15 8:43
18,NL,24-03-15 18:01
18,NA,24-03-18 8:34
18,LL,24-03-18 19:39
18,NA,24-03-19 8:34
18,NL,24-03-19 18:05
18,NA,24-03-20 8:43
18,NL,24-03-20 18:08
18,NA,24-03-21 8:58
18,NL,24-03-21 18:27
18,NA,24-03-22 8:39
18,LL,24-03-22 19:54
18,NA,24-03-25 8:49
18,NL,24-03-25 18:20
18,LA,24-03-26 9:01
18,NL,24-03-26 18:00
18,LA,24-03-27 9:07
18,NL,24-03-27 18:03
