ATTEND_STATUS,REG_DATE,ADMIN_IDX
NA,24-01-02 8:36,26
LL,24-01-02 19:00,26
NA,24-01-03 8:51,26
LL,24-01-03 19:03,26
NA,24-01-04 8:56,26
NL,24-01-04 18:04,26
NA,24-01-05 8:58,26
NL,24-01-05 18:25,26
NA,24-01-08 8:37,26
NL,24-01-08 18:21,26
NA,24-01-09 8:42,26
LL,24-01-09 20:03,26
NA,24-01-10 8:35,26
LL,24-01-10 19:52,26
NA,24-01-11 8:51,26
LL,24-01-11 19:04,26
NA,24-01-12 8:42,26
NL,24-01-12 18:29,26
NA,24-01-15 8:34,26
LL,24-01-15 19:51,26
NA,24-01-16 8:53,26
NL,24-01-16 18:00,26
NA,24-01-17 8:32,26
NL,24-01-17 18:09,26
NA,24-01-18 8:35,26
LL,24-01-18 19:03,26
NA,24-01-19 8:37,26
NL,24-01-19 18:11,26
NA,24-01-22 8:38,26
NL,24-01-22 18:29,26
NA,24-01-23 8:48,26
NL,24-01-23 18:12,26
LA,24-01-24 9:14,26
NL,24-01-24 18:13,26
NA,24-01-25 8:35,26
LL,24-01-25 19:32,26
NA,24-01-26 8:45,26
LL,24-01-26 19:08,26
NA,24-01-29 8:43,26
LL,24-01-29 19:05,26
NA,24-01-30 8:56,26
NL,24-01-30 18:00,26
LA,24-01-31 9:09,26
NL,24-01-31 18:19,26
NA,24-02-01 8:44,26
NL,24-02-01 18:03,26
NA,24-02-02 8:34,26
LL,24-02-02 19:32,26
NA,24-02-05 8:59,26
LL,24-02-05 20:08,26
NA,24-02-06 8:40,26
LL,24-02-06 19:21,26
NA,24-02-07 8:44,26
NL,24-02-07 18:11,26
NA,24-02-08 8:42,26
NL,24-02-08 18:20,26
NA,24-02-09 8:48,26
EL,24-02-09 15:21,26
NA,24-02-12 8:46,26
LL,24-02-12 20:01,26
NA,24-02-13 8:43,26
NL,24-02-13 18:05,26
NA,24-02-14 8:30,26
NL,24-02-14 18:28,26
NA,24-02-15 8:50,26
NL,24-02-15 18:13,26
NA,24-02-16 8:47,26
NL,24-02-16 18:05,26
NA,24-02-19 8:31,26
EL,24-02-19 17:40,26
NA,24-02-20 8:54,26
NL,24-02-20 18:29,26
NA,24-02-21 8:40,26
LL,24-02-21 19:38,26
NA,24-02-22 8:51,26
NL,24-02-22 18:17,26
NA,24-02-23 8:54,26
NL,24-02-23 18:29,26
NA,24-02-26 8:38,26
NL,24-02-26 18:14,26
LA,24-02-27 9:26,26
LL,24-02-27 20:14,26
NA,24-02-28 8:44,26
NL,24-02-28 18:23,26
NA,24-02-29 8:37,26
NL,24-02-29 18:13,26
NA,24-03-04 8:46,26
LL,24-03-04 19:48,26
NA,24-03-05 8:57,26
NL,24-03-05 18:17,26
NA,24-03-06 8:57,26
NL,24-03-06 18:06,26
NA,24-03-07 8:40,26
NL,24-03-07 18:16,26
NA,24-03-08 8:45,26
NL,24-03-08 18:23,26
NA,24-03-11 8:39,26
NL,24-03-11 18:19,26
NA,24-03-12 8:48,26
NL,24-03-12 18:03,26
NA,24-03-13 8:45,26
LL,24-03-13 20:26,26
NA,24-03-14 8:37,26
NL,24-03-14 18:01,26
NA,24-03-15 8:39,26
NL,24-03-15 18:02,26
NA,24-03-18 8:44,26
OT,24-03-18 11:28,26
RT,24-03-18 12:42,26
LL,24-03-18 19:29,26
NA,24-03-19 8:31,26
NL,24-03-19 18:24,26
NA,24-03-20 8:36,26
NL,24-03-20 18:08,26
AB,24-03-21 18:00,26
NA,24-03-22 8:37,26
NL,24-03-22 18:21,26
NA,24-03-25 8:31,26
NL,24-03-25 18:19,26
NA,24-03-26 8:34,26
NL,24-03-26 18:01,26
NA,24-03-27 8:48,26
NL,24-03-27 18:14,26
NA,24-03-28 8:39,26
NL,24-03-28 18:12,26
NA,24-03-29 8:54,26
NL,24-03-29 18:19,26
NA,24-04-01 8:48,26
LL,24-04-01 20:09,26
NA,24-04-02 8:59,26
NL,24-04-02 18:24,26
NA,24-04-03 8:50,26
NL,24-04-03 18:02,26
LA,24-04-04 9:23,26
LL,24-04-04 19:03,26
NA,24-04-05 8:50,26
LL,24-04-05 19:26,26
NA,24-04-08 8:53,26
NL,24-04-08 18:03,26
NA,24-04-09 8:36,26
NL,24-04-09 18:15,26
NA,24-04-10 8:32,26
LL,24-04-10 19:35,26
NA,24-04-11 8:54,26
LL,24-04-11 19:53,26
NA,24-04-12 8:54,26
NL,24-04-12 18:27,26
NA,24-04-15 8:53,26
NL,24-04-15 18:09,26
NA,24-04-16 8:40,26
LL,24-04-16 19:04,26
NA,24-04-17 8:36,26
LL,24-04-17 19:24,26
NA,24-04-18 8:35,26
NL,24-04-18 18:06,26
NA,24-04-19 8:45,26
NL,24-04-19 18:16,26
NA,24-04-22 8:40,26
NL,24-04-22 18:09,26
NA,24-04-23 8:42,26
LL,24-04-23 20:23,26
NA,24-04-24 8:37,26
NL,24-04-24 18:29,26
VC,24-04-25 18:00,26
NA,24-04-26 8:44,26
NL,24-04-26 18:27,26
NA,24-04-29 8:40,26
NL,24-04-29 18:10,26
NA,24-04-30 8:32,26
NL,24-04-30 18:18,26
NA,24-05-01 8:38,26
NL,24-05-01 18:14,26
NA,24-05-02 8:55,26
LL,24-05-02 20:12,26
NA,24-05-03 8:38,26
NL,24-05-03 18:22,26
NA,24-05-06 8:33,26
LL,24-05-06 19:50,26
NA,24-05-07 8:55,26
LL,24-05-07 19:37,26
NA,24-05-08 8:55,26
LL,24-05-08 19:16,26
VC,24-05-09 18:00,26
NA,24-05-10 8:57,26
NL,24-05-10 18:00,26
NA,24-05-13 8:53,26
NL,24-05-13 18:27,26
NA,24-05-14 8:44,26
LL,24-05-14 19:24,26
NA,24-05-15 8:57,26
NL,24-05-15 18:11,26
NA,24-05-16 8:33,26
NL,24-05-16 18:12,26
NA,24-05-17 8:38,26
LL,24-05-17 19:56,26
NA,24-05-20 8:58,26
OT,24-05-20 12:12,26
RT,24-05-20 13:53,26
NL,24-05-20 18:20,26
NA,24-05-21 8:56,26
LL,24-05-21 19:48,26
NA,24-05-22 8:39,26
NL,24-05-22 18:19,26
NA,24-05-23 8:36,26
NL,24-05-23 18:22,26
VC,24-05-24 18:00,26
BT,24-05-27 18:00,26
LA,24-05-28 9:15,26
EL,24-05-28 16:48,26
NA,24-05-29 8:33,26
NL,24-05-29 18:13,26
NA,24-05-30 8:36,26
NL,24-05-30 18:22,26
NA,24-05-31 8:51,26
NL,24-05-31 18:20,26
NA,24-06-03 8:45,26
LL,24-06-03 19:30,26
NA,24-06-04 8:59,26
NL,24-06-04 18:12,26
NA,24-06-05 8:48,26
EL,24-06-05 17:45,26
NA,24-06-06 8:57,26
NL,24-06-06 18:29,26
NA,24-06-07 8:44,26
NL,24-06-07 18:15,26
NA,24-06-10 8:33,26
NL,24-06-10 18:20,26
NA,24-06-11 8:39,26
