USER_IDX,ATTEND_STATUS,REG_DATE
1,NA,24-01-02 8:50
1,NL,24-01-02 18:09
1,NA,24-01-03 8:30
1,NL,24-01-03 18:02
1,NA,24-01-04 8:46
1,LL,24-01-04 19:19
1,NA,24-01-05 8:41
1,NL,24-01-05 18:09
1,NA,24-01-08 8:30
1,NL,24-01-08 18:28
1,NA,24-01-09 8:59
1,NL,24-01-09 18:21
1,NA,24-01-10 8:56
1,NL,24-01-10 18:03
1,LA,24-01-11 9:25
1,NL,24-01-11 18:24
1,NA,24-01-12 8:38
1,NL,24-01-12 18:26
1,LA,24-01-15 9:22
1,NL,24-01-15 18:01
1,NA,24-01-16 8:57
1,LL,24-01-16 19:41
1,NA,24-01-17 8:40
1,NL,24-01-17 18:06
1,NA,24-01-18 8:36
1,NL,24-01-18 18:21
1,NA,24-01-19 8:44
1,EL,24-01-19 15:36
1,NA,24-01-22 8:33
1,NL,24-01-22 18:29
1,NA,24-01-23 8:42
1,LL,24-01-23 20:10
1,NA,24-01-24 8:58
1,NL,24-01-24 18:00
1,NA,24-01-25 8:34
1,NL,24-01-25 18:20
1,NA,24-01-26 8:53
1,NL,24-01-26 18:00
1,NA,24-01-29 8:52
1,NL,24-01-29 18:26
1,NA,24-01-30 8:47
1,NL,24-01-30 18:22
1,NA,24-01-31 8:30
1,NL,24-01-31 18:08
1,NA,24-02-01 8:42
1,LL,24-02-01 20:22
1,NA,24-02-02 8:49
1,OT,24-02-02 13:29
1,RT,24-02-02 15:20
1,LL,24-02-02 19:55
1,NA,24-02-05 8:54
1,NL,24-02-05 18:10
1,VC,24-02-06 18:00
1,NA,24-02-07 8:46
1,NL,24-02-07 18:01
1,NA,24-02-08 8:41
1,NL,24-02-08 18:10
1,NA,24-02-09 8:59
1,LL,24-02-09 19:46
1,NA,24-02-12 8:55
1,NL,24-02-12 18:15
1,NA,24-02-13 8:35
1,NL,24-02-13 18:15
1,NA,24-02-14 8:59
1,LL,24-02-14 20:25
1,NA,24-02-15 8:39
1,OT,24-02-15 14:29
1,RT,24-02-15 15:58
1,LL,24-02-15 19:08
1,NA,24-02-16 8:49
1,LL,24-02-16 19:48
1,LA,24-02-19 9:28
1,LL,24-02-19 20:25
1,NA,24-02-20 8:46
1,NL,24-02-20 18:09
1,NA,24-02-21 8:39
1,LL,24-02-21 20:19
1,NA,24-02-22 8:49
1,NL,24-02-22 18:29
1,NA,24-02-23 8:33
1,NL,24-02-23 18:11
1,NA,24-02-26 8:32
1,EL,24-02-26 16:35
1,NA,24-02-27 8:30
1,NL,24-02-27 18:00
1,NA,24-02-28 8:30
1,LL,24-02-28 19:33
1,VC,24-02-29 18:00
1,NA,24-03-04 8:35
1,NL,24-03-04 18:20
1,VC,24-03-05 18:00
1,NA,24-03-06 8:32
1,NL,24-03-06 18:20
1,NA,24-03-07 8:59
1,NL,24-03-07 18:10
1,LA,24-03-08 9:18
1,NL,24-03-08 18:28
1,NA,24-03-11 8:31
1,NL,24-03-11 18:10
1,NA,24-03-12 8:58
1,EL,24-03-12 16:45
1,NA,24-03-13 8:59
1,NL,24-03-13 18:28
1,LA,24-03-14 9:17
1,NL,24-03-14 18:23
1,NA,24-03-15 8:31
1,NL,24-03-15 18:04
1,NA,24-03-18 8:56
1,NL,24-03-18 18:18
1,NA,24-03-19 8:57
1,LL,24-03-19 19:44
1,NA,24-03-20 8:53
1,NL,24-03-20 18:17
1,NA,24-03-21 8:52
1,NL,24-03-21 18:08
1,NA,24-03-22 8:32
1,LL,24-03-22 20:17
1,NA,24-03-25 8:36
1,NL,24-03-25 18:13
1,NA,24-03-26 8:50
1,NL,24-03-26 18:13
1,NA,24-03-27 8:55
1,NL,24-03-27 18:23
1,NA,24-03-28 8:42
1,NL,24-03-28 18:23
1,NA,24-03-29 8:30
1,LL,24-03-29 19:27
1,NA,24-04-01 8:59
1,NL,24-04-01 18:29
1,NA,24-04-02 8:59
1,NL,24-04-02 18:12
1,NA,24-04-03 8:35
1,NL,24-04-03 18:18
1,VC,24-04-04 18:00
1,NA,24-04-05 8:45
1,NL,24-04-05 18:10
1,NA,24-04-08 8:37
1,LL,24-04-08 19:07
1,NA,24-04-09 8:45
1,NL,24-04-09 18:00
1,NA,24-04-10 8:40
1,NL,24-04-10 18:03
1,NA,24-04-11 8:53
1,NL,24-04-11 18:17
1,NA,24-04-12 8:49
1,LL,24-04-12 20:16
1,NA,24-04-15 8:56
1,LL,24-04-15 19:22
1,NA,24-04-16 8:55
1,NL,24-04-16 18:28
1,NA,24-04-17 8:48
1,NL,24-04-17 18:03
1,NA,24-04-18 8:31
1,NL,24-04-18 18:16
1,NA,24-04-19 8:32
1,NL,24-04-19 18:08
1,NA,24-04-22 8:31
1,NL,24-04-22 18:25
1,NA,24-04-23 8:50
1,LL,24-04-23 19:59
1,NA,24-04-24 8:40
1,OT,24-04-24 13:59
1,EL,24-04-24 15:59
1,NA,24-04-25 8:53
1,NL,24-04-25 18:26
1,NA,24-04-26 8:44
1,LL,24-04-26 20:27
1,NA,24-04-29 8:52
1,LL,24-04-29 20:13
1,NA,24-04-30 8:45
1,NL,24-04-30 18:26
1,NA,24-05-01 8:34
1,NL,24-05-01 18:21
1,NA,24-05-02 8:43
1,NL,24-05-02 18:02
1,NA,24-05-03 8:43
1,NL,24-05-03 18:11
1,NA,24-05-06 8:46
1,NL,24-05-06 18:00
1,NA,24-05-07 8:40
1,NL,24-05-07 18:00
1,NA,24-05-08 8:34
1,LL,24-05-08 19:44
1,LA,24-05-09 9:13
1,LL,24-05-09 19:48
1,NA,24-05-10 8:46
1,NL,24-05-10 18:20
1,VC,24-05-13 18:00
1,NA,24-05-14 8:37
1,NL,24-05-14 18:01
1,LA,24-05-15 9:18
1,LL,24-05-15 19:13
1,NA,24-05-16 8:58
1,NL,24-05-16 18:15
1,NA,24-05-17 8:30
1,OT,24-05-17 14:41
1,RT,24-05-17 15:54
1,NL,24-05-17 18:01
1,NA,24-05-20 8:43
1,LL,24-05-20 19:38
1,NA,24-05-21 8:51
1,LL,24-05-21 20:15
1,NA,24-05-22 8:30
1,NL,24-05-22 18:00
1,NA,24-05-23 8:34
1,NL,24-05-23 18:22
1,NA,24-05-24 8:47
1,NL,24-05-24 18:13
1,NA,24-05-27 8:42
1,NL,24-05-27 18:14
1,NA,24-05-28 8:45
1,NL,24-05-28 18:16
1,NA,24-05-29 8:36
1,NL,24-05-29 18:01
1,NA,24-05-30 8:53
1,LL,24-05-30 19:44
1,NA,24-05-31 8:44
1,NL,24-05-31 18:17
1,NA,24-06-03 8:44
1,NL,24-06-03 18:14
1,LA,24-06-04 9:16
1,NL,24-06-04 18:20
1,LA,24-06-05 9:04
1,NL,24-06-05 18:08
1,NA,24-06-06 8:47
1,LL,24-06-06 20:18
1,NA,24-06-07 8:49
1,NL,24-06-07 18:25
1,NA,24-06-10 8:58
1,LL,24-06-10 19:26
1,NA,24-06-11 8:56
1,LL,24-06-11 20:08
1,NA,24-06-12 8:48
1,NL,24-06-12 18:14
1,NA,24-06-13 8:40
1,LL,24-06-13 20:28
1,NA,24-06-14 8:34
1,LL,24-06-14 19:43
1,VC,24-06-17 18:00
1,VC,24-06-18 18:00
1,NA,24-06-19 8:51
1,NL,24-06-19 18:22
1,NA,24-06-20 8:55
1,LL,24-06-20 19:07
1,NA,24-06-21 8:53
1,NL,24-06-21 18:11
1,NA,24-06-24 8:48
1,LL,24-06-24 19:51
1,NA,24-06-25 8:40
1,NL,24-06-25 18:18
1,NA,24-06-26 8:58
1,NL,24-06-26 18:28
1,LA,24-06-27 9:27
1,NL,24-06-27 18:06
1,NA,24-06-28 8:58
1,NL,24-06-28 18:09
1,NA,24-07-01 8:49
1,LL,24-07-01 19:33
1,NA,24-07-02 8:48
1,LL,24-07-02 19:04
1,NA,24-07-03 8:42
1,LL,24-07-03 19:24
1,NA,24-07-04 8:47
1,NL,24-07-04 18:19
1,NA,24-07-05 8:59
1,NL,24-07-05 18:22
1,NA,24-07-08 8:47
1,NL,24-07-08 18:22
1,NA,24-07-09 8:50
1,NL,24-07-09 18:15
1,NA,24-07-10 8:56
1,LL,24-07-10 19:19
1,NA,24-07-11 8:50
1,NL,24-07-11 18:10
1,NA,24-07-12 8:57
1,LL,24-07-12 20:03
1,NA,24-07-15 8:48
1,NL,24-07-15 18:20
1,NA,24-07-16 8:44
1,OT,24-07-16 11:06
1,EL,24-07-16 13:06
1,NA,24-07-17 8:50
1,NL,24-07-17 18:08
1,NA,24-07-18 8:58
1,NL,24-07-18 18:05
1,NA,24-07-19 8:35
1,NL,24-07-19 18:04
1,NA,24-07-22 8:56
1,EL,24-07-22 15:33
1,NA,24-07-23 8:57
1,LL,24-07-23 19:04
1,NA,24-07-24 8:50
1,LL,24-07-24 19:32
1,NA,24-07-25 8:47
1,NL,24-07-25 18:17
1,NA,24-07-26 8:36
1,LL,24-07-26 19:52
1,NA,24-07-29 8:49
1,NL,24-07-29 18:09
1,NA,24-07-30 8:31
1,NL,24-07-30 18:28
1,NA,24-07-31 8:40
1,NL,24-07-31 18:08
1,NA,24-08-01 8:40
1,NL,24-08-01 18:27
1,NA,24-08-02 8:33
1,LL,24-08-02 20:13
1,NA,24-08-05 8:58
1,LL,24-08-05 19:25
1,LA,24-08-06 9:06
1,NL,24-08-06 18:28
1,VC,24-08-07 18:00
1,NA,24-08-08 8:52
1,LL,24-08-08 19:56
1,NA,24-08-09 8:55
1,NL,24-08-09 18:28
1,NA,24-08-12 8:54
1,NL,24-08-12 18:09
1,NA,24-08-13 8:36
1,LL,24-08-13 20:21
1,NA,24-08-14 8:30
1,NL,24-08-14 18:09
1,LA,24-08-16 9:02
1,LL,24-08-16 19:13
1,NA,24-08-19 8:58
1,NL,24-08-19 18:05
1,NA,24-08-20 8:43
1,NL,24-08-20 18:03
1,NA,24-08-21 8:41
1,NL,24-08-21 18:20
1,NA,24-08-22 8:58
1,NL,24-08-22 18:02
1,NA,24-08-23 8:44
1,LL,24-08-23 19:02
1,NA,24-08-26 8:50
1,LL,24-08-26 19:49
1,NA,24-08-27 8:43
1,NL,24-08-27 18:05
1,NA,24-08-28 8:59
1,NL,24-08-28 18:28
1,NA,24-08-29 8:54
1,NL,24-08-29 18:18
1,VC,24-08-30 18:00
1,NA,24-09-02 8:38
1,NL,24-09-02 18:11
1,NA,24-09-03 8:31
1,NL,24-09-03 18:29
1,LA,24-09-04 9:21
1,LL,24-09-04 19:01
1,NA,24-09-05 8:54
1,NL,24-09-05 18:14
1,NA,24-09-06 8:31
1,NL,24-09-06 18:18
1,NA,24-09-09 8:57
1,NL,24-09-09 18:24
1,VC,24-09-10 18:00
1,VC,24-09-11 18:00
1,VC,24-09-12 18:00
1,LA,24-09-13 9:01
1,NL,24-09-13 18:17
1,NA,24-09-16 8:58
1,NL,24-09-16 18:28
1,NA,24-09-17 8:41
1,NL,24-09-17 18:27
1,NA,24-09-18 8:48
1,NL,24-09-18 18:21
1,NA,24-09-19 8:46
1,NL,24-09-19 18:10
1,NA,24-09-20 8:32
1,NL,24-09-20 18:26
1,NA,24-09-23 8:43
1,NL,24-09-23 18:16
1,NA,24-09-24 8:31
1,NL,24-09-24 18:23
1,NA,24-09-25 8:37
1,LL,24-09-25 19:03
1,NA,24-09-26 8:30
1,NL,24-09-26 18:16
1,NA,24-09-27 8:45
1,NL,24-09-27 18:04
1,NA,24-09-30 8:31
1,NL,24-09-30 18:04
1,NA,24-10-01 8:59
1,LL,24-10-01 19:21
1,NA,24-10-02 8:31
1,OT,24-10-02 13:23
1,RT,24-10-02 14:37
