USER_IDX,ATTEND_STATUS,REG_DATE
1,NA,24-01-02 8:40
1,OT,24-01-02 12:11
1,RT,24-01-02 13:19
1,NL,24-01-02 18:16
1,NA,24-01-03 8:50
1,NL,24-01-03 18:14
1,NA,24-01-04 8:49
1,NL,24-01-04 18:08
1,NA,24-01-05 8:57
1,NL,24-01-05 18:05
1,NA,24-01-08 8:57
1,NL,24-01-08 18:21
1,NA,24-01-09 8:58
1,NL,24-01-09 18:23
1,NA,24-01-10 8:31
1,NL,24-01-10 18:05
1,NA,24-01-11 8:37
1,EL,24-01-11 16:14
1,NA,24-01-12 8:46
1,NL,24-01-12 18:00
1,NA,24-01-15 8:36
1,NL,24-01-15 18:12
1,NA,24-01-16 8:38
1,EL,24-01-16 15:49
1,NA,24-01-17 8:32
1,EL,24-01-17 16:33
1,NA,24-01-18 8:41
1,NL,24-01-18 18:22
1,NA,24-01-19 8:43
1,NL,24-01-19 18:27
1,NA,24-01-22 8:40
1,NL,24-01-22 18:09
1,NA,24-01-23 8:48
1,NL,24-01-23 18:22
1,NA,24-01-24 8:55
1,NL,24-01-24 18:06
1,NA,24-01-25 8:33
1,NL,24-01-25 18:10
1,NA,24-01-26 8:55
1,NL,24-01-26 18:25
1,BT,24-01-29 18:00
1,NA,24-01-30 8:35
1,NL,24-01-30 18:21
1,NA,24-01-31 8:31
1,NL,24-01-31 18:22
1,NA,24-02-01 8:57
1,NL,24-02-01 18:14
1,NA,24-02-02 8:59
1,NL,24-02-02 18:14
1,NA,24-02-05 8:34
1,LL,24-02-05 19:05
1,NA,24-02-06 8:31
1,NL,24-02-06 18:13
1,NA,24-02-07 8:37
1,NL,24-02-07 18:03
1,NA,24-02-08 8:59
1,NL,24-02-08 18:29
1,NA,24-02-09 8:38
1,NL,24-02-09 18:07
1,NA,24-02-12 8:45
1,NL,24-02-12 18:26
1,NA,24-02-13 8:40
1,OT,24-02-13 13:10
1,EL,24-02-13 15:10
1,NA,24-02-14 8:51
1,NL,24-02-14 18:16
1,NA,24-02-15 8:31
1,NL,24-02-15 18:12
1,NA,24-02-16 8:44
1,NL,24-02-16 18:16
1,NA,24-02-19 8:52
1,NL,24-02-19 18:21
1,NA,24-02-20 8:53
1,NL,24-02-20 18:04
1,NA,24-02-21 8:45
1,NL,24-02-21 18:13
1,NA,24-02-22 8:43
1,NL,24-02-22 18:18
1,NA,24-02-23 8:36
1,NL,24-02-23 18:27
1,NA,24-02-26 8:49
1,NL,24-02-26 18:14
1,NA,24-02-27 8:39
1,NL,24-02-27 18:17
1,NA,24-02-28 8:41
1,NL,24-02-28 18:29
1,NA,24-02-29 8:55
1,NL,24-02-29 18:12
1,NA,24-03-04 8:44
1,NL,24-03-04 18:01
1,NA,24-03-05 8:32
1,NL,24-03-05 18:26
1,NA,24-03-06 8:58
1,NL,24-03-06 18:06
1,NA,24-03-07 8:36
