ATTEND_RECORD_IDX,USER_IDX,ATTEND_STATUS,REG_DATE
1,1,NA,24-01-02 8:37
2,1,LL,24-01-02 19:35
3,1,NA,24-01-03 8:54
4,1,NL,24-01-03 18:00
5,1,NA,24-01-04 8:48
6,1,NL,24-01-04 18:14
7,1,NA,24-01-05 8:33
8,1,NL,24-01-05 18:28
9,1,VC,24-01-08 18:00
10,1,NA,24-01-09 8:54
11,1,NL,24-01-09 18:15
12,1,NA,24-01-10 8:54
13,1,NL,24-01-10 18:28
14,1,NA,24-01-11 8:46
15,1,NL,24-01-11 18:13
16,1,NA,24-01-12 8:44
17,1,NL,24-01-12 18:06
18,1,NA,24-01-15 8:55
19,1,NL,24-01-15 18:18
20,1,VC,24-01-16 18:00
21,1,NA,24-01-17 8:35
22,1,NL,24-01-17 18:11
23,1,NA,24-01-18 8:48
24,1,NL,24-01-18 18:15
25,1,LA,24-01-19 9:20
26,1,LL,24-01-19 19:00
27,1,NA,24-01-22 8:55
28,1,NL,24-01-22 18:25
29,1,NA,24-01-23 8:51
30,1,NL,24-01-23 18:14
31,1,NA,24-01-24 8:59
32,1,NL,24-01-24 18:00
33,1,AB,24-01-25 18:00
34,1,NA,24-01-26 8:43
35,1,NL,24-01-26 18:14
36,1,LA,24-01-29 9:16
37,1,NL,24-01-29 18:15
38,1,NA,24-01-30 8:45
39,1,NL,24-01-30 18:13
40,1,LA,24-01-31 9:14
41,1,NL,24-01-31 18:12
42,1,NA,24-02-01 8:33
43,1,NL,24-02-01 18:06
44,1,NA,24-02-02 8:47
45,1,NL,24-02-02 18:12
46,1,NA,24-02-05 8:47
47,1,NL,24-02-05 18:29
48,1,NA,24-02-06 8:43
49,1,LL,24-02-06 20:16
50,1,NA,24-02-07 8:55
51,1,NL,24-02-07 18:19
52,1,NA,24-02-08 8:41
53,1,NL,24-02-08 18:18
54,1,NA,24-02-09 8:47
55,1,LL,24-02-09 19:10
56,1,LA,24-02-12 9:12
57,1,NL,24-02-12 18:22
58,1,NA,24-02-13 8:55
59,1,NL,24-02-13 18:07
60,1,LA,24-02-14 9:16
61,1,NL,24-02-14 18:00
62,1,NA,24-02-15 8:45
63,1,NL,24-02-15 18:16
64,1,NA,24-02-16 8:41
65,1,OT,24-02-16 12:37
66,1,RT,24-02-16 14:06
67,1,NL,24-02-16 18:14
68,1,NA,24-02-19 8:35
69,1,NL,24-02-19 18:27
70,1,NA,24-02-20 8:36
71,1,NL,24-02-20 18:20
72,1,NA,24-02-21 8:34
73,1,EL,24-02-21 15:02
74,1,NA,24-02-22 8:55
75,1,NL,24-02-22 18:11
76,1,NA,24-02-23 8:31
77,1,NL,24-02-23 18:03
78,1,NA,24-02-26 8:42
79,1,NL,24-02-26 18:17
80,1,NA,24-02-27 8:36
81,1,NL,24-02-27 18:06
82,1,NA,24-02-28 8:49
83,1,EL,24-02-28 17:44
84,1,NA,24-02-29 8:32
85,1,NL,24-02-29 18:25
86,1,VC,24-03-04 18:00
87,1,NA,24-03-05 8:53
88,1,NL,24-03-05 18:27
89,1,NA,24-03-06 8:30
90,1,NL,24-03-06 18:26
91,1,NA,24-03-07 8:47
92,1,NL,24-03-07 18:16
93,1,NA,24-03-08 8:36
94,1,NL,24-03-08 18:18
95,1,NA,24-03-11 8:35
96,1,NL,24-03-11 18:26
97,1,NA,24-03-12 8:33
98,1,NL,24-03-12 18:28
99,1,NA,24-03-13 8:52
100,1,NL,24-03-13 18:16
101,1,NA,24-03-14 8:47
102,1,NL,24-03-14 18:14
103,1,NA,24-03-15 8:47
104,1,NL,24-03-15 18:19
105,1,NA,24-03-18 8:30
106,1,NL,24-03-18 18:04
107,1,NA,24-03-19 8:36
108,1,LL,24-03-19 19:17
109,1,NA,24-03-20 8:57
110,1,NL,24-03-20 18:25
111,1,LA,24-03-21 9:06
112,1,NL,24-03-21 18:02
113,1,NA,24-03-22 8:57
114,1,NL,24-03-22 18:02
115,1,NA,24-03-25 8:38
116,1,EL,24-03-25 17:23
117,1,NA,24-03-26 8:54
118,1,NL,24-03-26 18:08
119,1,NA,24-03-27 8:51
120,1,NL,24-03-27 18:25
121,1,NA,24-03-28 8:49
122,1,NL,24-03-28 18:08
123,1,NA,24-03-29 8:34
124,1,NL,24-03-29 18:25
125,1,NA,24-04-01 8:50
126,1,LL,24-04-01 20:09
127,1,NA,24-04-02 8:56
128,1,LL,24-04-02 20:06
129,1,NA,24-04-03 8:32
130,1,NL,24-04-03 18:26
131,1,LA,24-04-04 9:13
132,1,NL,24-04-04 18:00
133,1,NA,24-04-05 8:34
134,1,NL,24-04-05 18:15
135,1,NA,24-04-08 8:39
136,1,NL,24-04-08 18:09
137,1,VC,24-04-09 18:00
138,1,LA,24-04-10 9:29
139,1,OT,24-04-10 11:42
140,1,RT,24-04-10 13:31
141,1,EL,24-04-10 15:29
142,1,VC,24-04-11 18:00
143,1,NA,24-04-12 8:57
144,1,OT,24-04-12 12:00
145,1,RT,24-04-12 13:11
146,1,NL,24-04-12 18:08
147,1,NA,24-04-15 8:42
148,1,NL,24-04-15 18:21
149,1,NA,24-04-16 8:31
150,1,NL,24-04-16 18:09
151,1,NA,24-04-17 8:35
152,1,NL,24-04-17 18:28
153,1,NA,24-04-18 8:39
154,1,NL,24-04-18 18:17
155,1,NA,24-04-19 8:41
156,1,NL,24-04-19 18:29
157,1,NA,24-04-22 8:54
158,1,NL,24-04-22 18:09
159,1,NA,24-04-23 8:50
160,1,NL,24-04-23 18:08
161,1,LA,24-04-24 9:12
162,1,NL,24-04-24 18:23
163,1,NA,24-04-25 8:32
164,1,NL,24-04-25 18:08
165,1,NA,24-04-26 8:54
166,1,NL,24-04-26 18:05
167,1,NA,24-04-29 8:40
168,1,NL,24-04-29 18:12
169,1,NA,24-04-30 8:36
170,1,NL,24-04-30 18:25
171,1,NA,24-05-01 8:54
172,1,NL,24-05-01 18:27
173,1,NA,24-05-02 8:38
174,1,LL,24-05-02 19:14
175,1,NA,24-05-03 8:47
176,1,NL,24-05-03 18:08
177,1,VC,24-05-06 18:00
178,1,NA,24-05-07 8:42
179,1,NL,24-05-07 18:06
180,1,NA,24-05-08 8:51
181,1,NL,24-05-08 18:01
182,1,NA,24-05-09 8:56
183,1,NL,24-05-09 18:02
184,1,NA,24-05-10 8:36
185,1,LL,24-05-10 20:25
186,1,LA,24-05-13 9:14
187,1,NL,24-05-13 18:18
188,1,LA,24-05-14 9:26
189,1,NL,24-05-14 18:09
190,1,NA,24-05-15 8:45
191,1,NL,24-05-15 18:07
192,1,NA,24-05-16 8:53
193,1,LL,24-05-16 20:06
194,1,NA,24-05-17 8:44
195,1,NL,24-05-17 18:27
196,1,NA,24-05-20 8:58
197,1,LL,24-05-20 19:06
198,1,NA,24-05-21 8:43
199,1,LL,24-05-21 19:17
200,1,NA,24-05-22 8:59
201,1,NL,24-05-22 18:08
202,1,NA,24-05-23 8:44
203,1,NL,24-05-23 18:17
204,1,NA,24-05-24 8:36
205,1,NL,24-05-24 18:05
206,1,NA,24-05-27 8:36
