ATTEND_RECORD_IDX,USER_IDX,ATTEND_STATUS,REG_DATE
1,1,NA,24-01-02 8:31
2,1,LL,24-01-02 19:33
3,1,NA,24-01-03 8:51
4,1,NL,24-01-03 18:06
5,1,NA,24-01-04 8:48
6,1,LL,24-01-04 20:20
7,1,VC,24-01-05 18:00
8,1,NA,24-01-08 8:43
9,1,NL,24-01-08 18:13
10,1,NA,24-01-09 8:33
11,1,NL,24-01-09 18:20
12,1,NA,24-01-10 8:47
13,1,NL,24-01-10 18:14
14,1,NA,24-01-11 8:53
15,1,NL,24-01-11 18:02
16,1,NA,24-01-12 8:41
17,1,NL,24-01-12 18:22
18,1,NA,24-01-15 8:34
19,1,NL,24-01-15 18:05
20,1,NA,24-01-16 8:35
21,1,NL,24-01-16 18:05
22,1,NA,24-01-17 8:39
23,1,EL,24-01-17 17:50
24,1,NA,24-01-18 8:30
25,1,EL,24-01-18 16:40
26,1,NA,24-01-19 8:35
27,1,NL,24-01-19 18:01
28,1,NA,24-01-22 8:41
29,1,NL,24-01-22 18:22
30,1,NA,24-01-23 8:58
31,1,NL,24-01-23 18:24
32,1,NA,24-01-24 8:58
33,1,NL,24-01-24 18:17
34,1,NA,24-01-25 8:45
35,1,NL,24-01-25 18:29
36,1,NA,24-01-26 8:31
37,1,NL,24-01-26 18:21
38,1,NA,24-01-29 8:43
39,1,NL,24-01-29 18:26
40,1,NA,24-01-30 8:33
41,1,NL,24-01-30 18:15
42,1,NA,24-01-31 8:40
43,1,EL,24-01-31 17:38
44,1,NA,24-02-01 8:49
45,1,OT,24-02-01 12:58
46,1,RT,24-02-01 14:19
47,1,NL,24-02-01 18:07
48,1,NA,24-02-02 8:46
49,1,NL,24-02-02 18:18
50,1,NA,24-02-05 8:50
51,1,EL,24-02-05 16:03
52,1,NA,24-02-06 8:58
53,1,NL,24-02-06 18:11
54,1,NA,24-02-07 8:54
55,1,NL,24-02-07 18:00
56,1,NA,24-02-08 8:34
57,1,NL,24-02-08 18:29
58,1,NA,24-02-09 8:54
59,1,EL,24-02-09 17:59
60,1,NA,24-02-12 8:41
61,1,OT,24-02-12 11:09
62,1,RT,24-02-12 12:21
63,1,NL,24-02-12 18:11
64,1,NA,24-02-13 8:49
65,1,NL,24-02-13 18:12
66,1,NA,24-02-14 8:39
67,1,NL,24-02-14 18:03
68,1,NA,24-02-15 8:58
69,1,NL,24-02-15 18:08
70,1,NA,24-02-16 8:46
71,1,NL,24-02-16 18:09
72,1,LA,24-02-19 9:06
73,1,NL,24-02-19 18:16
74,1,NA,24-02-20 8:32
75,1,EL,24-02-20 16:08
76,1,NA,24-02-21 8:47
77,1,NL,24-02-21 18:08
78,1,NA,24-02-22 8:36
79,1,NL,24-02-22 18:05
80,1,NA,24-02-23 8:53
81,1,NL,24-02-23 18:17
82,1,NA,24-02-26 8:40
83,1,NL,24-02-26 18:19
84,1,NA,24-02-27 8:44
85,1,EL,24-02-27 17:44
86,1,NA,24-02-28 8:45
87,1,LL,24-02-28 19:54
88,1,NA,24-02-29 8:30
89,1,LL,24-02-29 20:27
90,1,NA,24-03-04 8:47
91,1,NL,24-03-04 18:20
92,1,NA,24-03-05 8:32
93,1,NL,24-03-05 18:11
94,1,NA,24-03-06 8:45
95,1,NL,24-03-06 18:17
96,1,NA,24-03-07 8:56
97,1,NL,24-03-07 18:15
98,1,NA,24-03-08 8:52
99,1,NL,24-03-08 18:12
100,1,NA,24-03-11 8:39
101,1,NL,24-03-11 18:20
102,1,NA,24-03-12 8:55
103,1,EL,24-03-12 15:33
104,1,NA,24-03-13 8:57
105,1,NL,24-03-13 18:15
106,1,NA,24-03-14 8:54
107,1,LL,24-03-14 20:02
108,1,NA,24-03-15 8:53
109,1,NL,24-03-15 18:16
110,1,NA,24-03-18 8:40
111,1,LL,24-03-18 20:26
112,1,NA,24-03-19 8:48
113,1,NL,24-03-19 18:01
114,1,NA,24-03-20 8:57
115,1,NL,24-03-20 18:27
116,1,NA,24-03-21 8:51
117,1,NL,24-03-21 18:14
118,1,NA,24-03-22 8:45
119,1,NL,24-03-22 18:16
120,1,NA,24-03-25 8:57
121,1,EL,24-03-25 16:03
122,1,NA,24-03-26 8:37
123,1,NL,24-03-26 18:26
124,1,NA,24-03-27 8:46
125,1,EL,24-03-27 15:53
126,1,NA,24-03-28 8:45
127,1,NL,24-03-28 18:24
128,1,NA,24-03-29 8:56
129,1,NL,24-03-29 18:16
130,1,NA,24-04-01 8:36
131,1,LL,24-04-01 20:26
132,1,NA,24-04-02 8:48
133,1,NL,24-04-02 18:19
134,1,NA,24-04-03 8:56
135,1,NL,24-04-03 18:22
136,1,NA,24-04-04 8:51
137,1,NL,24-04-04 18:28
138,1,NA,24-04-05 8:55
139,1,EL,24-04-05 15:33
140,1,NA,24-04-08 8:41
141,1,NL,24-04-08 18:24
142,1,NA,24-04-09 8:51
143,1,NL,24-04-09 18:03
144,1,NA,24-04-10 8:49
145,1,NL,24-04-10 18:01
146,1,NA,24-04-11 8:50
147,1,OT,24-04-11 11:37
148,1,EL,24-04-11 12:37
149,1,NA,24-04-12 8:59
150,1,NL,24-04-12 18:25
151,1,NA,24-04-15 8:57
152,1,LL,24-04-15 19:02
153,1,NA,24-04-16 8:31
154,1,NL,24-04-16 18:22
155,1,NA,24-04-17 8:40
156,1,EL,24-04-17 17:23
157,1,NA,24-04-18 8:36
158,1,NL,24-04-18 18:17
