ATTEND_RECORD_IDX,USER_IDX,ATTEND_STATUS,REG_DATE
1,1,LA,24-01-02 9:07
2,1,NL,24-01-02 18:21
3,1,NA,24-01-03 8:54
4,1,NL,24-01-03 18:02
5,1,NA,24-01-04 8:46
6,1,NL,24-01-04 18:27
7,1,LA,24-01-05 9:15
8,1,NL,24-01-05 18:08
9,1,LA,24-01-08 9:13
10,1,NL,24-01-08 18:00
11,1,VC,24-01-09 18:00
12,1,NA,24-01-10 8:58
13,1,NL,24-01-10 18:07
14,1,NA,24-01-11 8:51
15,1,NL,24-01-11 18:04
16,1,LA,24-01-12 9:03
17,1,NL,24-01-12 18:09
18,1,NA,24-01-15 8:48
19,1,NL,24-01-15 18:28
20,1,NA,24-01-16 8:44
21,1,NL,24-01-16 18:23
22,1,NA,24-01-17 8:53
23,1,NL,24-01-17 18:25
24,1,NA,24-01-18 8:56
25,1,NL,24-01-18 18:08
26,1,BT,24-01-19 18:00
27,1,NA,24-01-22 8:33
28,1,NL,24-01-22 18:14
29,1,NA,24-01-23 8:47
30,1,NL,24-01-23 18:06
31,1,LA,24-01-24 9:08
32,1,NL,24-01-24 18:20
33,1,NA,24-01-25 8:39
34,1,NL,24-01-25 18:17
35,1,NA,24-01-26 8:50
36,1,NL,24-01-26 18:12
37,1,NA,24-01-29 8:42
38,1,NL,24-01-29 18:23
39,1,NA,24-01-30 8:36
40,1,NL,24-01-30 18:21
41,1,NA,24-01-31 8:34
42,1,NL,24-01-31 18:21
43,1,NA,24-02-01 8:58
44,1,NL,24-02-01 18:29
45,1,NA,24-02-02 8:41
46,1,NL,24-02-02 18:12
47,1,NA,24-02-05 8:40
48,1,NL,24-02-05 18:29
49,1,NA,24-02-06 8:56
50,1,NL,24-02-06 18:12
51,1,NA,24-02-07 8:51
52,1,OT,24-02-07 11:44
53,1,EL,24-02-07 12:44
54,1,NA,24-02-08 8:35
55,1,NL,24-02-08 18:22
56,1,NA,24-02-09 8:54
57,1,NL,24-02-09 18:14
58,1,NA,24-02-12 8:40
59,1,NL,24-02-12 18:07
60,1,NA,24-02-13 8:54
61,1,NL,24-02-13 18:22
62,1,NA,24-02-14 8:38
63,1,NL,24-02-14 18:26
64,1,NA,24-02-15 8:50
65,1,NL,24-02-15 18:23
66,1,NA,24-02-16 8:48
67,1,NL,24-02-16 18:18
