ATTEND_RECORD_IDX,USER_IDX,ATTEND_STATUS,REG_DATE
1,1,NA,24-01-02 8:36
2,1,LL,24-01-02 19:00
3,1,NA,24-01-03 8:51
4,1,LL,24-01-03 19:03
5,1,NA,24-01-04 8:56
6,1,NL,24-01-04 18:04
7,1,NA,24-01-05 8:58
8,1,NL,24-01-05 18:25
9,1,NA,24-01-08 8:37
10,1,NL,24-01-08 18:21
11,1,NA,24-01-09 8:42
12,1,LL,24-01-09 20:03
13,1,NA,24-01-10 8:35
14,1,LL,24-01-10 19:52
15,1,NA,24-01-11 8:51
16,1,LL,24-01-11 19:04
17,1,NA,24-01-12 8:42
18,1,NL,24-01-12 18:29
19,1,NA,24-01-15 8:34
20,1,LL,24-01-15 19:51
21,1,NA,24-01-16 8:53
22,1,NL,24-01-16 18:00
23,1,NA,24-01-17 8:32
24,1,NL,24-01-17 18:09
25,1,NA,24-01-18 8:35
26,1,LL,24-01-18 19:03
27,1,NA,24-01-19 8:37
28,1,NL,24-01-19 18:11
29,1,NA,24-01-22 8:38
30,1,NL,24-01-22 18:29
31,1,NA,24-01-23 8:48
32,1,NL,24-01-23 18:12
33,1,LA,24-01-24 9:14
34,1,NL,24-01-24 18:13
35,1,NA,24-01-25 8:35
36,1,LL,24-01-25 19:32
37,1,NA,24-01-26 8:45
38,1,LL,24-01-26 19:08
39,1,NA,24-01-29 8:43
40,1,LL,24-01-29 19:05
41,1,NA,24-01-30 8:56
42,1,NL,24-01-30 18:00
43,1,LA,24-01-31 9:09
44,1,NL,24-01-31 18:19
45,1,NA,24-02-01 8:44
46,1,NL,24-02-01 18:03
47,1,NA,24-02-02 8:34
48,1,LL,24-02-02 19:32
49,1,NA,24-02-05 8:59
50,1,LL,24-02-05 20:08
51,1,NA,24-02-06 8:40
52,1,LL,24-02-06 19:21
53,1,NA,24-02-07 8:44
54,1,NL,24-02-07 18:11
55,1,NA,24-02-08 8:42
56,1,NL,24-02-08 18:20
57,1,NA,24-02-09 8:48
58,1,EL,24-02-09 15:21
59,1,NA,24-02-12 8:46
60,1,LL,24-02-12 20:01
