ATTEND_RECORD_IDX,USER_IDX,ATTEND_STATUS,REG_DATE
1,1,NA,24-01-02 8:40
2,1,OT,24-01-02 12:11
3,1,RT,24-01-02 13:19
4,1,NL,24-01-02 18:16
5,1,NA,24-01-03 8:50
6,1,NL,24-01-03 18:14
7,1,NA,24-01-04 8:49
8,1,NL,24-01-04 18:08
9,1,NA,24-01-05 8:57
10,1,NL,24-01-05 18:05
11,1,NA,24-01-08 8:57
12,1,NL,24-01-08 18:21
13,1,NA,24-01-09 8:58
14,1,NL,24-01-09 18:23
15,1,NA,24-01-10 8:31
16,1,NL,24-01-10 18:05
17,1,NA,24-01-11 8:37
18,1,EL,24-01-11 16:14
19,1,NA,24-01-12 8:46
20,1,NL,24-01-12 18:00
21,1,NA,24-01-15 8:36
22,1,NL,24-01-15 18:12
23,1,NA,24-01-16 8:38
24,1,EL,24-01-16 15:49
25,1,NA,24-01-17 8:32
26,1,EL,24-01-17 16:33
27,1,NA,24-01-18 8:41
28,1,NL,24-01-18 18:22
29,1,NA,24-01-19 8:43
30,1,NL,24-01-19 18:27
31,1,NA,24-01-22 8:40
32,1,NL,24-01-22 18:09
33,1,NA,24-01-23 8:48
34,1,NL,24-01-23 18:22
35,1,NA,24-01-24 8:55
36,1,NL,24-01-24 18:06
37,1,NA,24-01-25 8:33
38,1,NL,24-01-25 18:10
39,1,NA,24-01-26 8:55
40,1,NL,24-01-26 18:25
41,1,BT,24-01-29 18:00
42,1,NA,24-01-30 8:35
43,1,NL,24-01-30 18:21
44,1,NA,24-01-31 8:31
45,1,NL,24-01-31 18:22
46,1,NA,24-02-01 8:57
47,1,NL,24-02-01 18:14
48,1,NA,24-02-02 8:59
49,1,NL,24-02-02 18:14
50,1,NA,24-02-05 8:34
51,1,LL,24-02-05 19:05
52,1,NA,24-02-06 8:31
53,1,NL,24-02-06 18:13
54,1,NA,24-02-07 8:37
55,1,NL,24-02-07 18:03
56,1,NA,24-02-08 8:59
57,1,NL,24-02-08 18:29
58,1,NA,24-02-09 8:38
59,1,NL,24-02-09 18:07
60,1,NA,24-02-12 8:45
61,1,NL,24-02-12 18:26
62,1,NA,24-02-13 8:40
63,1,OT,24-02-13 13:10
64,1,EL,24-02-13 15:10
65,1,NA,24-02-14 8:51
66,1,NL,24-02-14 18:16
67,1,NA,24-02-15 8:31
68,1,NL,24-02-15 18:12
69,1,NA,24-02-16 8:44
70,1,NL,24-02-16 18:16
71,1,NA,24-02-19 8:52
72,1,NL,24-02-19 18:21
73,1,NA,24-02-20 8:53
74,1,NL,24-02-20 18:04
75,1,NA,24-02-21 8:45
76,1,NL,24-02-21 18:13
77,1,NA,24-02-22 8:43
78,1,NL,24-02-22 18:18
79,1,NA,24-02-23 8:36
80,1,NL,24-02-23 18:27
81,1,NA,24-02-26 8:49
82,1,NL,24-02-26 18:14
83,1,NA,24-02-27 8:39
84,1,NL,24-02-27 18:17
85,1,NA,24-02-28 8:41
86,1,NL,24-02-28 18:29
87,1,NA,24-02-29 8:55
88,1,NL,24-02-29 18:12
89,1,NA,24-03-04 8:44
90,1,NL,24-03-04 18:01
91,1,NA,24-03-05 8:32
92,1,NL,24-03-05 18:26
93,1,NA,24-03-06 8:58
94,1,NL,24-03-06 18:06
95,1,NA,24-03-07 8:36
96,1,NL,24-03-07 18:01
97,1,NA,24-03-08 8:39
98,1,EL,24-03-08 16:51
99,1,NA,24-03-11 8:50
100,1,NL,24-03-11 18:04
101,1,NA,24-03-12 8:46
102,1,NL,24-03-12 18:28
103,1,NA,24-03-13 8:53
104,1,NL,24-03-13 18:20
105,1,NA,24-03-14 8:51
106,1,NL,24-03-14 18:08
107,1,NA,24-03-15 8:54
108,1,NL,24-03-15 18:01
109,1,NA,24-03-18 8:54
110,1,NL,24-03-18 18:04
